,L,H,label,head_dla,mover_attn,mover_dla,dla_ratio,induction,eigenvals_vocab,eigenvals_resid,head_dla_no_ind,mover_attn_no_ind,mover_dla_no_ind,ratio_dla_no_ind
695,34,15,L34H15,0.052453436,0.021661183,0.00022856261,0.017496167,0.011802029,0.21615693,0.9745256,0.06765897,0.024563178,0.00029753934,0.02318128
696,34,16,L34H16,0.045651954,0.035089914,0.0016429073,0.0670604,0.010095527,0.7087542,0.9828363,0.059403166,0.0493242,0.0022502518,0.09143528
697,34,17,L34H17,0.029083313,0.02981684,0.00051814463,0.05883032,0.030061854,0.15450577,0.19814537,0.050632436,0.041008953,0.002244538,0.13688779
698,34,18,L34H18,0.035388928,0.01632014,0.00058666343,0.041841935,0.030031426,0.94128364,0.4184251,0.0520685,0.021979786,0.0009403945,0.08899967
699,34,19,L34H19,0.02904561,0.026811961,0.0006110435,0.06328975,0.02565989,0.9813489,0.88753235,0.0404177,0.03094151,0.000910443,0.10176603
700,35,0,L35H0,0.027510362,0.04202444,0.0002402344,0.0401862,0.009842848,0.19498175,0.5340042,0.043498244,0.057399407,0.0005029441,0.08738332
701,35,1,L35H1,0.029974308,0.03631875,0.0,0.033852678,0.009852748,0.34303337,0.43535534,0.090233125,0.06376738,0.0,0.06323196
702,35,2,L35H2,0.008547279,0.0356543,0.0,0.044608258,0.0049987203,0.27228683,0.8907741,0.027378812,0.05199036,0.0,0.067358024
703,35,3,L35H3,0.040729314,0.045121353,0.0002464051,0.050723143,0.0041226842,0.33848318,0.98884666,0.060640074,0.063823305,0.0005799849,0.09777019
704,35,4,L35H4,0.04182861,0.046164308,0.00045194954,0.06751815,0.003934705,-0.000613875,0.9544586,0.057323202,0.06772546,0.0006959451,0.10992652
705,35,5,L35H5,0.05395975,0.03943706,0.0003790415,0.037038185,0.005133268,0.22621879,0.99807227,0.073366135,0.067200065,0.0009207783,0.09417432
706,35,6,L35H6,0.018980915,0.038764708,3.411206e-05,0.053778403,0.0063680047,-0.2331612,0.46484432,0.032285392,0.05752167,0.00016808062,0.09272071
