,L,H,label,head_dla,mover_attn,mover_dla,dla_ratio,induction,eigenvals_vocab,eigenvals_resid,head_dla_no_ind,mover_attn_no_ind,mover_dla_no_ind,ratio_dla_no_ind
133,8,5,L8H5,0.06202867,0.025475021,0.0023325754,0.10253228,0.0067377035,0.97365475,0.9206243,0.08896433,0.030476892,0.002993774,0.14753495
134,8,6,L8H6,0.04227934,0.002764783,3.0481962e-05,0.0018550158,0.002479483,0.87462074,0.98093927,0.060957693,0.0072801556,8.790803e-05,0.0062593054
135,8,7,L8H7,0.056432523,0.010185456,6.827853e-05,0.004022274,0.00019896068,0.43298703,0.8812256,0.07466802,0.028534072,0.0003644689,0.02112668
136,8,8,L8H8,0.06954129,0.017519053,0.001696301,0.03746442,0.0029775554,0.0866357,-0.5131483,0.08030583,0.023685416,0.002483317,0.053050227
137,8,9,L8H9,0.008859616,0.024608323,0.0,0.04094865,0.0040951488,-0.93523115,-0.9983815,0.020227967,0.03456732,0.0,0.054358903
138,8,10,L8H10,0.032525897,0.018045317,0.00031672334,0.03319478,0.0040185573,-0.80054826,-0.97284234,0.040005744,0.02260264,0.00070598355,0.049190238
139,8,11,L8H11,0.02499615,0.022016015,0.00028854512,0.07664873,0.004381353,0.08991048,-0.919979,0.036069382,0.02797971,0.00042994198,0.123313844
140,8,12,L8H12,0.048778664,0.017272368,0.0001908105,0.018859107,0.0016096839,0.6963725,0.7482444,0.061837308,0.027576063,0.0006494855,0.049764648
141,8,13,L8H13,0.024844276,0.015884755,0.00042408687,0.03437245,0.008429659,0.3077766,-0.26492798,0.033125598,0.019303914,0.00075960136,0.060576513
142,8,14,L8H14,0.018524516,0.01842578,0.0,0.031106057,0.009340264,-0.3761906,-0.9979991,0.031419475,0.019221589,0.0,0.04017816
143,8,15,L8H15,0.035847135,0.018753035,0.0,0.08654562,0.0040848325,0.3215163,0.76742667,0.053561553,0.021281248,5.8939746e-05,0.13637497
144,9,0,L9H0,0.034452043,0.02234701,0.00051267486,0.05038482,0.004771183,0.53884226,0.45559305,0.04840982,0.03605455,0.001107549,0.11414393
145,9,1,L9H1,0.044696573,0.016829005,0.0009222372,0.089798644,0.006261456,0.9310895,0.6872113,0.06302035,0.022731058,0.0015875407,0.14783077
146,9,2,L9H2,0.026342869,0.0027699324,1.3464985e-05,0.0020544345,0.0043706945,0.53907657,0.8894923,0.044913985,0.005536863,4.1498482e-05,0.0076848515
147,9,3,L9H3,0.063209824,0.043429624,0.0019000577,0.13983308,0.71543604,0.86461395,0.8614237,0.083056256,0.031610116,0.0021651716,0.12548718
148,9,4,L9H4,0.018922659,0.018257016,0.0051324004,0.32035992,0.39961454,0.8962645,0.34674534,0.022195376,0.012914708,0.0036729411,0.29270336
149,9,5,L9H5,0.024864782,0.0042377124,3.8799644e-05,0.0065607904,0.004345111,0.36432737,0.92619544,0.0376359,0.007882711,9.066757e-05,0.020320252
150,9,6,L9H6,0.017973348,0.008451799,2.772033e-05,0.0163399,0.006175251,-0.4779764,-0.28003052,0.025848312,0.009552981,8.370247e-05,0.03827305
